,Date,Site,parameter,o3,co,so2,no2,pm10
6978,2019-10-14,170311003,44201,0.026,,,,
6979,2019-10-14,170311016,81102,,,,,36.0
6980,2019-10-14,170311601,44201,0.03,,,,
6981,2019-10-14,170313103,44201,0.025,,,,
6982,2019-10-14,170314002,44201,0.028,,,,
6983,2019-10-14,170314007,44201,0.027,,,,
6984,2019-10-14,170314201,44201,0.028,,,,
6985,2019-10-14,170317002,44201,0.027,,,,
6986,2019-10-15,170310001,44201,0.031,,,,
6987,2019-10-15,170310032,44201,0.03,,,,
6988,2019-10-15,170310076,44201,0.036,,,,
6989,2019-10-15,170310119,42101,,0.6,,,
6990,2019-10-15,170311003,44201,0.028,,,,
6991,2019-10-15,170311016,81102,,,,,46.0
6992,2019-10-15,170311601,44201,0.033,,,,
6993,2019-10-15,170313103,44201,0.025,,,,
6994,2019-10-15,170314002,44201,0.027,,,,
6995,2019-10-15,170314007,44201,0.027,,,,
6996,2019-10-15,170314201,44201,0.029,,,,
6997,2019-10-15,170317002,44201,0.029,,,,
6998,2019-10-16,170310001,44201,0.022,,,,
6999,2019-10-16,170310032,44201,0.021,,,,
7000,2019-10-16,170310076,44201,0.023,,,,
7001,2019-10-16,170310119,42101,,0.3,,,
7002,2019-10-16,170311003,44201,0.023,,,,
7003,2019-10-16,170311016,81102,,,,,22.0
7004,2019-10-16,170311601,44201,0.024,,,,
7005,2019-10-16,170313103,44201,0.018,,,,
7006,2019-10-16,170314002,44201,0.02,,,,
7007,2019-10-16,170314007,44201,0.021,,,,
7008,2019-10-16,170314201,44201,0.023,,,,
7009,2019-10-16,170317002,44201,0.024,,,,
7010,2019-10-17,170310001,44201,0.018,,,,
7011,2019-10-17,170310032,44201,0.023,,,,
7012,2019-10-17,170310076,44201,0.021,,,,
7013,2019-10-17,170310119,42101,,0.5,,,
7014,2019-10-17,170311003,44201,0.021,,,,
7015,2019-10-17,170311016,81102,,,,,27.0
7016,2019-10-17,170311601,44201,0.023,,,,
7017,2019-10-17,170313103,44201,0.018,,,,
7018,2019-10-17,170314002,44201,0.02,,,,
7019,2019-10-17,170314007,44201,0.02,,,,
7020,2019-10-17,170314201,44201,0.02,,,,
7021,2019-10-17,170317002,44201,0.023,,,,
7022,2019-10-18,170310001,44201,0.028,,,,
7023,2019-10-18,170310032,44201,0.028,,,,
7024,2019-10-18,170310076,44201,0.029,,,,
7025,2019-10-18,170310119,42101,,0.5,,,
7026,2019-10-18,170311003,44201,0.024,,,,
7027,2019-10-18,170311016,81102,,,,,56.0
7028,2019-10-18,170311601,44201,0.03,,,,
7029,2019-10-18,170313103,44201,0.024,,,,
7030,2019-10-18,170314002,42602,,,,34.1,
7031,2019-10-18,170314007,44201,0.024,,,,
7032,2019-10-18,170314201,44201,0.024,,,,
7033,2019-10-18,170317002,44201,0.031,,,,
7034,2019-10-19,170310001,44201,0.038,,,,
7035,2019-10-19,170310032,44201,0.038,,,,
7036,2019-10-19,170310076,44201,0.043,,,,
7037,2019-10-19,170310119,42101,,0.5,,,
7038,2019-10-19,170311003,44201,0.037,,,,
7039,2019-10-19,170311016,81102,,,,,44.0
7040,2019-10-19,170311601,44201,0.04,,,,
7041,2019-10-19,170313103,44201,0.036,,,,
7042,2019-10-19,170314002,44201,0.034,,,,
7043,2019-10-19,170314007,44201,0.035,,,,
7044,2019-10-19,170314201,44201,0.038,,,,
7045,2019-10-19,170317002,44201,0.036,,,,
7046,2019-10-20,170310001,44201,0.027,,,,
7047,2019-10-20,170310032,44201,0.034,,,,
7048,2019-10-20,170310076,44201,0.032,,,,
7049,2019-10-20,170310119,42101,,0.6,,,
7050,2019-10-20,170311003,44201,0.031,,,,
7051,2019-10-20,170311016,81102,,,,,27.0
7052,2019-10-20,170311601,44201,0.03,,,,
7053,2019-10-20,170313103,44201,0.03,,,,
7054,2019-10-20,170314002,44201,0.027,,,,
7055,2019-10-20,170314007,44201,0.032,,,,
7056,2019-10-20,170314201,44201,0.036,,,,
7057,2019-10-20,170317002,44201,0.038,,,,
7058,2019-10-21,170310001,44201,0.032,,,,
7059,2019-10-21,170310032,44201,0.031,,,,
7060,2019-10-21,170310076,44201,0.035,,,,
7061,2019-10-21,170310119,42101,,0.6,,,
7062,2019-10-21,170310219,42602,,,,23.3,
7063,2019-10-21,170311003,44201,0.032,,,,
7064,2019-10-21,170311016,81102,,,,,33.0
7065,2019-10-21,170311601,44201,0.034,,,,
7066,2019-10-21,170313103,44201,0.032,,,,
7067,2019-10-21,170314002,44201,0.032,,,,
7068,2019-10-21,170314007,44201,0.031,,,,
7069,2019-10-21,170314201,44201,0.033,,,,
7070,2019-10-21,170317002,44201,0.033,,,,
