"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"11/18/2019","AQS","170310076","1","1.4","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.4"
"11/19/2019","AQS","170310076","1","2.5","ppb","3","COM ED MAINTENANCE BLDG","22","92.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.5"
"11/20/2019","AQS","170310076","1","1.7","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.7"
"11/21/2019","AQS","170310076","1","1.3","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.3"
"11/22/2019","AQS","170310076","1","1.6","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.6"
"11/23/2019","AQS","170310076","1","2.3","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.3"
"11/24/2019","AQS","170310076","1","1.4","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.4"
"11/25/2019","AQS","170310076","1","1.9","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.9"
"11/26/2019","AQS","170310076","1","6.8","ppb","9","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","6.8"
"11/27/2019","AQS","170310076","1","1.5","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.5"
"11/28/2019","AQS","170310076","1","1","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1"
