"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/16/2020","AQS","170311601","1","1.8","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/17/2020","AQS","170311601","1","1.6","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/18/2020","AQS","170311601","1","1.3","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/19/2020","AQS","170311601","1","2.9","ppb","3","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/20/2020","AQS","170311601","1","1.3","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/21/2020","AQS","170311601","1","1.4","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/22/2020","AQS","170311601","1","3.2","ppb","4","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/23/2020","AQS","170311601","1","3.2","ppb","4","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/24/2020","AQS","170311601","1","2.2","ppb","3","COOK COUNTY TRAILER","23","96.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/25/2020","AQS","170311601","1","1.8","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/26/2020","AQS","170311601","1","1.3","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/27/2020","AQS","170311601","1","1.6","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/28/2020","AQS","170311601","1","1.2","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
"09/29/2020","AQS","170311601","1","1.2","ppb","1","COOK COUNTY TRAILER","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6681203371799","-87.9905696935943"
